monster_1,monster_2,win_pct_1,win_pct_2,underdog_pct
Flying Sword,Spy,50.7,49.3,49.3
Giant Owl,Spy,49.3,50.7,49.3
Giant Shark,Young Bronze Dragon,49.3,50.7,49.3
Gladiator,Minotaur,50.7,49.3,49.3
Triceratops,Young Black Dragon,50.7,49.3,49.3
Assassin,Gibbering Mouther,50.8,49.2,49.2
Bandit,Dretch,50.8,49.2,49.2
Bearded Devil,Bugbear,50.8,49.2,49.2
Brass Dragon Wyrmling,Harpy,49.2,50.8,49.2
Darkmantle,Hippogriff,50.8,49.2,49.2
Giant Constrictor Snake,Ogre,49.2,50.8,49.2
Giant Owl,Hippogriff,50.8,49.2,49.2
Giant Shark,Gorgon,50.8,49.2,49.2
Goat,Hyena,50.8,49.2,49.2
Guardian Naga,"Werebear, Hybrid Form",49.2,50.8,49.2
Harpy,Satyr,50.8,49.2,49.2
Hippogriff,"Wererat, Human Form",50.8,49.2,49.2
Magmin,Riding Horse,49.2,50.8,49.2
Ogre,Unicorn,50.8,49.2,49.2
Rust Monster,Swarm of Ravens,50.8,49.2,49.2
Troll,Winter Wolf,49.2,50.8,49.2
"Vampire, Vampire Form","Werebear, Bear Form",49.2,50.8,49.2
Brass Dragon Wyrmling,Swarm of Beetles,49.1,50.9,49.1
Bronze Dragon Wyrmling,Dire Wolf,50.9,49.1,49.1
Centaur,Doppelganger,50.9,49.1,49.1
Chuul,Rakshasa,49.1,50.9,49.1
Constrictor Snake,Wolf,50.9,49.1,49.1
Elk,Priest,49.1,50.9,49.1
Flying Sword,"Wererat, Rat Form",50.9,49.1,49.1
Giant Constrictor Snake,Gibbering Mouther,50.9,49.1,49.1
Giant Eagle,Specter,50.9,49.1,49.1
Hyena,Stirge,50.9,49.1,49.1
Magma Mephit,Magmin,49.1,50.9,49.1
Magma Mephit,Panther,50.9,49.1,49.1
Pegasus,"Wereboar, Hybrid Form",50.9,49.1,49.1
Awakened Shrub,Goat,51.0,49.0,49.0
Bugbear,Green Dragon Wyrmling,49.0,51.0,49.0
Cloaker,Nightmare,49.0,51.0,49.0
Deer,Eagle,49.0,51.0,49.0
Dretch,Goblin,51.0,49.0,49.0
Flying Sword,Ghoul,51.0,49.0,49.0
Gargoyle,"Werewolf, Wolf Form",51.0,49.0,49.0
Ghast,Giant Scorpion,51.0,49.0,49.0
Giant Toad,Worg,49.0,51.0,49.0
Hydra,Young Copper Dragon,49.0,51.0,49.0
Noble,Zombie,49.0,51.0,49.0
Swarm of Poisonous Snakes,Will-o'-Wisp,49.0,51.0,49.0
Blue Dragon Wyrmling,"Wereboar, Hybrid Form",51.1,48.9,48.9
Brass Dragon Wyrmling,Draft Horse,51.1,48.9,48.9
Brown Bear,Ettercap,48.9,51.1,48.9
Copper Dragon Wyrmling,Phase Spider,48.9,51.1,48.9
Gray Ooze,Skeleton,48.9,51.1,48.9
Harpy,Warhorse,48.9,51.1,48.9
Hell Hound,Merrow,51.1,48.9,48.9
Hell Hound,Polar Bear,48.9,51.1,48.9
Hunter Shark,Pegasus,48.9,51.1,48.9
Mammoth,Marilith,51.1,48.9,48.9
Night Hag,Shambling Mound,51.1,48.9,48.9
Quasit,Violet Fungus,51.1,48.9,48.9
Vampire Spawn,"Wereboar, Hybrid Form",51.1,48.9,48.9
Brass Dragon Wyrmling,Giant Eagle,48.8,51.2,48.8
Copper Dragon Wyrmling,Giant Toad,48.8,51.2,48.8
Drow,Hobgoblin,51.2,48.8,48.8
Ettin,Lamia,51.2,48.8,48.8
Ghast,Polar Bear,48.8,51.2,48.8
Giant Boar,Giant Hyena,51.2,48.8,48.8
Giant Centipede,Lemure,51.2,48.8,48.8
Giant Fire Beetle,Goat,48.8,51.2,48.8
Giant Shark,Roper,48.8,51.2,48.8
Gibbering Mouther,Medusa,48.8,51.2,48.8
Lamia,Oni,48.8,51.2,48.8
Mage,Swarm of Insects,51.2,48.8,48.8
Pseudodragon,Steam Mephit,48.8,51.2,48.8
Satyr,Warhorse,51.2,48.8,48.8
Chain Devil,Green Hag,48.7,51.3,48.7
Clay Golem,Hezrou,51.3,48.7,48.7
Dryad,Giant Badger,51.3,48.7,48.7
Duergar,Giant Spider,51.3,48.7,48.7
Giant Ape,Young Blue Dragon,51.3,48.7,48.7
Ice Devil,Mammoth,51.3,48.7,48.7
Killer Whale,"Werebear, Hybrid Form",51.3,48.7,48.7
Shadow,Swarm of Ravens,48.7,51.3,48.7
Warhorse Skeleton,Will-o'-Wisp,48.7,51.3,48.7
Air Elemental,Water Elemental,51.4,48.6,48.6
Awakened Tree,"Weretiger, Tiger Form",51.4,48.6,48.6
Berserker,Blue Dragon Wyrmling,51.4,48.6,48.6
Deep Gnome (Svirfneblin),Orc,48.6,51.4,48.6
Draft Horse,"Wererat, Human Form",51.4,48.6,48.6
Drow,Giant Poisonous Snake,51.4,48.6,48.6
Ettin,Oni,48.6,51.4,48.6
Ghast,Will-o'-Wisp,48.6,51.4,48.6
Manticore,Sea Hag,51.4,48.6,48.6
Noble,Panther,51.4,48.6,48.6
Pony,Wolf,51.4,48.6,48.6
Acolyte,Giant Centipede,51.5,48.5,48.5
Boar,Giant Badger,51.5,48.5,48.5
Brass Dragon Wyrmling,"Wererat, Human Form",51.5,48.5,48.5
Crocodile,Hippogriff,51.5,48.5,48.5
Crocodile,"Wererat, Rat Form",51.5,48.5,48.5
Elk,Riding Horse,51.5,48.5,48.5
Ghast,Swarm of Quippers,51.5,48.5,48.5
Giant Frog,Giant Sea Horse,48.5,51.5,48.5
Giant Frog,Sahuagin,51.5,48.5,48.5
Mule,Quasit,48.5,51.5,48.5
Vampire Spawn,"Wereboar, Boar Form",51.5,48.5,48.5
Boar,Dryad,51.6,48.4,48.4
Boar,Goblin,48.4,51.6,48.4
Brass Dragon Wyrmling,Warhorse,48.4,51.6,48.4
Clay Golem,Earth Elemental,51.6,48.4,48.4
Giant Bat,Shadow,51.6,48.4,48.4
Giant Boar,Polar Bear,51.6,48.4,48.4
Giant Elk,Hunter Shark,51.6,48.4,48.4
Giant Goat,Thug,51.6,48.4,48.4
Giant Hyena,Giant Octopus,51.6,48.4,48.4
Giant Wasp,Wolf,51.6,48.4,48.4
Gnoll,Reef Shark,48.4,51.6,48.4
Gnoll,Shadow,48.4,51.6,48.4
Spirit Naga,Unicorn,48.4,51.6,48.4
Vrock,"Werebear, Human Form",48.4,51.6,48.4
Aboleth,Triceratops,48.3,51.7,48.3
Awakened Shrub,Eagle,48.3,51.7,48.3
Azer,Green Dragon Wyrmling,48.3,51.7,48.3
Blink Dog,Cult Fanatic,48.3,51.7,48.3
Boar,Giant Wolf Spider,48.3,51.7,48.3
Constrictor Snake,Skeleton,51.7,48.3,48.3
Crocodile,Draft Horse,48.3,51.7,48.3
Deep Gnome (Svirfneblin),"Wererat, Rat Form",48.3,51.7,48.3
Giant Frog,Skeleton,48.3,51.7,48.3
Giant Goat,Swarm of Ravens,51.7,48.3,48.3
Grimlock,Magma Mephit,48.3,51.7,48.3
Ice Mephit,Magma Mephit,51.7,48.3,48.3
Ankheg,Doppelganger,48.2,51.8,48.2
Blue Dragon Wyrmling,Pegasus,51.8,48.2,48.2
Brass Dragon Wyrmling,Swarm of Centipedes,51.8,48.2,48.2
Brown Bear,Ochre Jelly,48.2,51.8,48.2
Deep Gnome (Svirfneblin),Ghoul,48.2,51.8,48.2
Deep Gnome (Svirfneblin),"Wererat, Hybrid Form",48.2,51.8,48.2
Dire Wolf,Polar Bear,51.8,48.2,48.2
Gelatinous Cube,Pegasus,48.2,51.8,48.2
Giant Sea Horse,Wolf,48.2,51.8,48.2
Giant Toad,Warhorse Skeleton,51.8,48.2,48.2
Harpy,Lion,48.2,51.8,48.2
Hill Giant,Hydra,48.2,51.8,48.2
Ice Mephit,Zombie,48.2,51.8,48.2
Merrow,Salamander,48.2,51.8,48.2
Satyr,Specter,48.2,51.8,48.2
Brass Dragon Wyrmling,Swarm of Insects,48.1,51.9,48.1
Couatl,Deva,48.1,51.9,48.1
Couatl,Killer Whale,48.1,51.9,48.1
Frost Giant,Young Silver Dragon,48.1,51.9,48.1
Gray Ooze,Sahuagin,51.9,48.1,48.1
Killer Whale,"Werebear, Bear Form",51.9,48.1,48.1
Priest,Riding Horse,48.1,51.9,48.1
Rhinoceros,"Wereboar, Hybrid Form",48.1,51.9,48.1
Sahuagin,Skeleton,48.1,51.9,48.1
Silver Dragon Wyrmling,Vampire Spawn,48.1,51.9,48.1
Swarm of Ravens,"Wererat, Human Form",48.1,51.9,48.1
Adult Blue Dragon,Planetar,48.0,52.0,48.0
Azer,Swarm of Quippers,48.0,52.0,48.0
Basilisk,Giant Elk,48.0,52.0,48.0
Crocodile,Swarm of Ravens,48.0,52.0,48.0
Dire Wolf,Merrow,52.0,48.0,48.0
Eagle,Mastiff,52.0,48.0,48.0
Giant Boar,Hell Hound,52.0,48.0,48.0
Griffon,Veteran,48.0,52.0,48.0
Hezrou,Triceratops,52.0,48.0,48.0
Hunter Shark,Silver Dragon Wyrmling,48.0,52.0,48.0
Phase Spider,Worg,48.0,52.0,48.0
Swarm of Poisonous Snakes,"Werewolf, Wolf Form",48.0,52.0,48.0
Balor,Storm Giant,52.1,47.9,47.9
Black Bear,Drow,52.1,47.9,47.9
Chain Devil,Wraith,52.1,47.9,47.9
Eagle,Kobold,47.9,52.1,47.9
Elephant,Water Elemental,52.1,47.9,47.9
Gargoyle,Ghast,47.9,52.1,47.9
Giant Spider,Giant Toad,47.9,52.1,47.9
Giant Toad,Grick,52.1,47.9,47.9
Grick,Worg,52.1,47.9,47.9
Killer Whale,"Vampire, Vampire Form",52.1,47.9,47.9
Mage,Swarm of Centipedes,52.1,47.9,47.9
Ochre Jelly,White Dragon Wyrmling,47.9,52.1,47.9
Pony,Sahuagin,52.1,47.9,47.9
Reef Shark,"Wererat, Hybrid Form",52.1,47.9,47.9
Awakened Shrub,Stirge,47.8,52.2,47.8
Bronze Dragon Wyrmling,Merrow,52.2,47.8,47.8
Chimera,Green Hag,52.2,47.8,47.8
Chuul,Wraith,52.2,47.8,47.8
Cult Fanatic,Giant Lizard,47.8,52.2,47.8
Dretch,Giant Wolf Spider,52.2,47.8,47.8
Fire Giant,Planetar,47.8,52.2,47.8
Ghast,Merrow,47.8,52.2,47.8
Mummy,Succubus/Incubus,52.2,47.8,47.8
Ochre Jelly,Tiger,52.2,47.8,47.8
Aboleth,Earth Elemental,52.3,47.7,47.7
Ape,Reef Shark,52.3,47.7,47.7
Axe Beak,Deep Gnome (Svirfneblin),47.7,52.3,47.7
Azer,Giant Scorpion,47.7,52.3,47.7
Commoner,Giant Fire Beetle,52.3,47.7,47.7
Death Dog,Specter,52.3,47.7,47.7
Earth Elemental,Young Black Dragon,47.7,52.3,47.7
Ghast,Giant Hyena,47.7,52.3,47.7
Giant Frog,Wolf,47.7,52.3,47.7
Giant Goat,Rust Monster,52.3,47.7,47.7
Giant Vulture,Orc,47.7,52.3,47.7
Giant Wasp,Skeleton,52.3,47.7,47.7
Gnoll,Lizardfolk,52.3,47.7,47.7
Goblin,Grimlock,52.3,47.7,47.7
Horned Devil,Young Silver Dragon,47.7,52.3,47.7
Imp,Panther,52.3,47.7,47.7
Merrow,Polar Bear,52.3,47.7,47.7
Pony,Riding Horse,52.3,47.7,47.7
Silver Dragon Wyrmling,"Wereboar, Boar Form",52.3,47.7,47.7
Balor,Kraken,47.6,52.4,47.6
Bandit Captain,Succubus/Incubus,52.4,47.6,47.6
Bearded Devil,Ghast,52.4,47.6,47.6
Black Bear,Blink Dog,47.6,52.4,47.6
Blood Hawk,Mule,52.4,47.6,47.6
Blood Hawk,Quasit,47.6,52.4,47.6
Blue Dragon Wyrmling,Drider,52.4,47.6,47.6
Bulette,Roper,52.4,47.6,47.6
Dretch,Grimlock,47.6,52.4,47.6
Duergar,Phase Spider,52.4,47.6,47.6
Flying Sword,"Wererat, Hybrid Form",47.6,52.4,47.6
Assassin,Giant Constrictor Snake,47.5,52.5,47.5
Assassin,Silver Dragon Wyrmling,52.5,47.5,47.5
Axe Beak,Giant Bat,47.5,52.5,47.5
Barbed Devil,Nightmare,47.5,52.5,47.5
Bulette,Ice Devil,47.5,52.5,47.5
Centaur,Giant Octopus,52.5,47.5,47.5
Ghost,Owlbear,52.5,47.5,47.5
Giant Ape,Marilith,47.5,52.5,47.5
Giant Badger,Giant Weasel,47.5,52.5,47.5
Giant Bat,Reef Shark,47.5,52.5,47.5
Giant Frog,Giant Wasp,52.5,47.5,47.5
Gorgon,Young Bronze Dragon,52.5,47.5,47.5
Harpy,Swarm of Wasps,52.5,47.5,47.5
Hunter Shark,"Wereboar, Human Form",47.5,52.5,47.5
Oni,"Werebear, Human Form",52.5,47.5,47.5
Adult White Dragon,Cloud Giant,47.4,52.6,47.4
Bronze Dragon Wyrmling,Giant Hyena,52.6,47.4,47.4
Bulette,Mammoth,52.6,47.4,47.4
Cult Fanatic,Swarm of Rats,47.4,52.6,47.4
Ghoul,Swarm of Insects,47.4,52.6,47.4
Giant Frog,Magmin,52.6,47.4,47.4
Gibbering Mouther,Vampire Spawn,52.6,47.4,47.4
Grick,Ochre Jelly,52.6,47.4,47.4
Grick,Wight,52.6,47.4,47.4
Harpy,Swarm of Spiders,52.6,47.4,47.4
Shield Guardian,Young Brass Dragon,47.4,52.6,47.4
Berserker,Pegasus,52.7,47.3,47.3
Bone Devil,Hill Giant,52.7,47.3,47.3
Chuul,Minotaur,47.3,52.7,47.3
Giant Elk,Manticore,52.7,47.3,47.3
Giant Lizard,Reef Shark,47.3,52.7,47.3
Giant Scorpion,Swarm of Quippers,52.7,47.3,47.3
Giant Weasel,Panther,47.3,52.7,47.3
Lizardfolk,Reef Shark,47.3,52.7,47.3
Mimic,Polar Bear,52.7,47.3,47.3
Orc,Swarm of Beetles,52.7,47.3,47.3
Reef Shark,Spy,52.7,47.3,47.3
Reef Shark,"Wererat, Rat Form",52.7,47.3,47.3
Shadow,Thug,47.3,52.7,47.3
Spy,"Wererat, Hybrid Form",52.7,47.3,47.3
Swarm of Ravens,Swarm of Wasps,47.3,52.7,47.3
"Vampire, Bat Form",Water Elemental,47.3,52.7,47.3
Adult Brass Dragon,Tyrannosaurus Rex,52.8,47.2,47.2
Adult Bronze Dragon,Fire Giant,52.8,47.2,47.2
Blue Dragon Wyrmling,Giant Constrictor Snake,47.2,52.8,47.2
Crocodile,Rust Monster,47.2,52.8,47.2
Deer,Stirge,47.2,52.8,47.2
Ettercap,Tiger,47.2,52.8,47.2
Flying Sword,Shadow,52.8,47.2,47.2
Giant Vulture,Reef Shark,52.8,47.2,47.2
Giant Vulture,Shadow,52.8,47.2,47.2
Goblin,Imp,47.2,52.8,47.2
Grimlock,Magmin,52.8,47.2,47.2
Harpy,Swarm of Centipedes,52.8,47.2,47.2
Mage,Satyr,52.8,47.2,47.2
Ogre,"Weretiger, Human Form",52.8,47.2,47.2
Oni,Wyvern,52.8,47.2,47.2
Silver Dragon Wyrmling,"Wereboar, Hybrid Form",52.8,47.2,47.2
Spy,Swarm of Ravens,47.2,52.8,47.2
Animated Armor,White Dragon Wyrmling,52.9,47.1,47.1
Assassin,"Wereboar, Hybrid Form",47.1,52.9,47.1
Blue Dragon Wyrmling,Ogre,47.1,52.9,47.1
Brass Dragon Wyrmling,Swarm of Wasps,52.9,47.1,47.1
Bronze Dragon Wyrmling,Centaur,47.1,52.9,47.1
Bugbear,Dire Wolf,47.1,52.9,47.1
Deep Gnome (Svirfneblin),Rust Monster,47.1,52.9,47.1
Giant Constrictor Snake,Half-Red Dragon Veteran,52.9,47.1,47.1
Giant Crab,Skeleton,52.9,47.1,47.1
Giant Poisonous Snake,Swarm of Bats,47.1,52.9,47.1
Gibbering Mouther,Owlbear,52.9,47.1,47.1
Medusa,"Wereboar, Boar Form",52.9,47.1,47.1
Nightmare,"Weretiger, Hybrid Form",52.9,47.1,47.1
Roper,Stone Giant,47.1,52.9,47.1
Swarm of Ravens,Swarm of Spiders,47.1,52.9,47.1
Awakened Tree,"Weretiger, Hybrid Form",53.0,47.0,47.0
Blue Dragon Wyrmling,Silver Dragon Wyrmling,47.0,53.0,47.0
Chuul,Wyvern,53.0,47.0,47.0
Commoner,Deer,47.0,53.0,47.0
Copper Dragon Wyrmling,Duergar,53.0,47.0,47.0
Darkmantle,Orc,53.0,47.0,47.0
Deer,Goat,53.0,47.0,47.0
Draft Horse,Swarm of Insects,47.0,53.0,47.0
Ghoul,Swarm of Wasps,47.0,53.0,47.0
Giant Bat,"Wererat, Hybrid Form",47.0,53.0,47.0
Giant Eagle,Mage,53.0,47.0,47.0
Giant Scorpion,Mimic,47.0,53.0,47.0
Giant Toad,Wight,47.0,53.0,47.0
Giant Vulture,Spy,47.0,53.0,47.0
Magmin,Scout,47.0,53.0,47.0
Aboleth,Young White Dragon,46.9,53.1,46.9
Axe Beak,Giant Lizard,53.1,46.9,46.9
Barbed Devil,"Weretiger, Tiger Form",46.9,53.1,46.9
Crocodile,Ghoul,46.9,53.1,46.9
Darkmantle,Thug,46.9,53.1,46.9
Elk,Giant Poisonous Snake,53.1,46.9,46.9
Frost Giant,Horned Devil,53.1,46.9,46.9
Giant Crocodile,Mummy Lord,53.1,46.9,46.9
Giant Poisonous Snake,Swarm of Rats,46.9,53.1,46.9
Grimlock,Panther,46.9,53.1,46.9
Ice Mephit,Magmin,46.9,53.1,46.9
Mage,Swarm of Beetles,53.1,46.9,46.9
Mule,Violet Fungus,46.9,53.1,46.9
Reef Shark,Rust Monster,46.9,53.1,46.9
Spy,Thug,46.9,53.1,46.9
Adult Copper Dragon,Behir,46.8,53.2,46.8
Ankheg,Giant Octopus,53.2,46.8,46.8
Ape,Hippogriff,46.8,53.2,46.8
Black Bear,Giant Poisonous Snake,53.2,46.8,46.8
Dire Wolf,Giant Octopus,46.8,53.2,46.8
Earth Elemental,Triceratops,53.2,46.8,46.8
Giant Weasel,Wolf,46.8,53.2,46.8
Gorgon,Treant,53.2,46.8,46.8
Ice Mephit,Panther,46.8,53.2,46.8
Owlbear,Unicorn,46.8,53.2,46.8
Rhinoceros,Vampire Spawn,53.2,46.8,46.8
Barbed Devil,Cloaker,53.3,46.7,46.7
Blink Dog,Swarm of Bats,46.7,53.3,46.7
Cloaker,"Weretiger, Tiger Form",46.7,53.3,46.7
Cockatrice,Riding Horse,46.7,53.3,46.7
Crocodile,"Wererat, Hybrid Form",53.3,46.7,46.7
Darkmantle,Draft Horse,53.3,46.7,46.7
Darkmantle,Rust Monster,46.7,53.3,46.7
Darkmantle,"Wererat, Rat Form",53.3,46.7,46.7
Giant Vulture,"Wererat, Hybrid Form",46.7,53.3,46.7
Giant Weasel,Magma Mephit,46.7,53.3,46.7
Glabrezu,Young Blue Dragon,46.7,53.3,46.7
Gladiator,Wraith,53.3,46.7,46.7
Hezrou,Young White Dragon,46.7,53.3,46.7
Night Hag,Shield Guardian,46.7,53.3,46.7
Steam Mephit,Violet Fungus,46.7,53.3,46.7
"Wereboar, Human Form","Wereboar, Hybrid Form",46.7,53.3,46.7
Wight,Worg,53.3,46.7,46.7
Black Pudding,Mimic,46.6,53.4,46.6
Cultist,Violet Fungus,53.4,46.6,46.6
Giant Bat,Giant Vulture,53.4,46.6,46.6
Giant Crab,Giant Sea Horse,53.4,46.6,46.6
Giant Lizard,Gnoll,53.4,46.6,46.6
Giant Wolf Spider,Grimlock,46.6,53.4,46.6
Griffon,Manticore,46.6,53.4,46.6
Hobgoblin,Swarm of Bats,53.4,46.6,46.6
Ice Devil,Marilith,46.6,53.4,46.6
Lizardfolk,Shadow,53.4,46.6,46.6
Priest,Scout,46.6,53.4,46.6
Sahuagin,Wolf,46.6,53.4,46.6
Adult Brass Dragon,Stone Golem,53.5,46.5,46.5
Assassin,Medusa,46.5,53.5,46.5
Black Dragon Wyrmling,Giant Scorpion,46.5,53.5,46.5
Black Pudding,Giant Boar,53.5,46.5,46.5
Darkmantle,"Wererat, Hybrid Form",53.5,46.5,46.5
Deep Gnome (Svirfneblin),Flying Sword,53.5,46.5,46.5
Erinyes,Giant Shark,53.5,46.5,46.5
Ghoul,Swarm of Centipedes,46.5,53.5,46.5
Giant Boar,Mimic,53.5,46.5,46.5
Glabrezu,Ice Devil,53.5,46.5,46.5
Magma Mephit,Zombie,53.5,46.5,46.5
Oni,Rakshasa,46.5,53.5,46.5
Swarm of Bats,Swarm of Rats,46.5,53.5,46.5
Bandit,Giant Wolf Spider,53.6,46.4,46.4
Commoner,Goat,46.4,53.6,46.4
Drider,Hunter Shark,53.6,46.4,46.4
Giant Badger,Grimlock,46.4,53.6,46.4
Giant Crab,Wolf,46.4,53.6,46.4
Giant Rat,Quasit,46.4,53.6,46.4
Green Hag,Otyugh,53.6,46.4,46.4
Hill Giant,Mummy Lord,53.6,46.4,46.4
Hunter Shark,Rhinoceros,53.6,46.4,46.4
Invisible Stalker,Vrock,46.4,53.6,46.4
Ape,Flying Sword,53.7,46.3,46.3
Assassin,Ghost,53.7,46.3,46.3
Assassin,Pegasus,53.7,46.3,46.3
Black Dragon Wyrmling,Ghast,53.7,46.3,46.3
Blue Dragon Wyrmling,Medusa,46.3,53.7,46.3
Blue Dragon Wyrmling,Rhinoceros,53.7,46.3,46.3
Brass Dragon Wyrmling,Satyr,46.3,53.7,46.3
Bronze Dragon Wyrmling,Hell Hound,53.7,46.3,46.3
Cockatrice,Priest,46.3,53.7,46.3
Duergar,Grick,46.3,53.7,46.3
Elephant,"Vampire, Bat Form",53.7,46.3,46.3
Gargoyle,"Werewolf, Hybrid Form",53.7,46.3,46.3
Ghast,Mimic,46.3,53.7,46.3
Ghost,Ogre,53.7,46.3,46.3
Giant Badger,Goblin,53.7,46.3,46.3
Glabrezu,Mammoth,53.7,46.3,46.3
Gold Dragon Wyrmling,Ogre Zombie,53.7,46.3,46.3
Acolyte,Mastiff,46.2,53.8,46.2
Archmage,Giant Octopus,53.8,46.2,46.2
Assassin,Vampire Spawn,46.2,53.8,46.2
Barbed Devil,"Weretiger, Hybrid Form",46.2,53.8,46.2
Bearded Devil,Will-o'-Wisp,53.8,46.2,46.2
Bugbear,Giant Scorpion,53.8,46.2,46.2
Deep Gnome (Svirfneblin),Hippogriff,46.2,53.8,46.2
Earth Elemental,Gynosphinx,46.2,53.8,46.2
Giant Constrictor Snake,"Wereboar, Hybrid Form",53.8,46.2,46.2
Gold Dragon Wyrmling,Troll,53.8,46.2,46.2
Lich,Young Green Dragon,46.2,53.8,46.2
Magmin,Priest,46.2,53.8,46.2
Rhinoceros,"Wereboar, Human Form",53.8,46.2,46.2
Riding Horse,Swarm of Bats,53.8,46.2,46.2
Swarm of Beetles,Warhorse,53.8,46.2,46.2
